university_id;grant_id;start_date;amount;name;creation_date;title;category;lab_id;extra_info;director_id;director_name;date_of_birth
111;543;24/09/2022;4117;Green, Hill and Bennett;14/05/2021;Wind;Mrs;;;500543;Zeca Santos;07/07/1981
158;543;28/05/2022;4256;Anderson, Carson and Mcgee;12/12/2024;Wind;Mrs;;;500543;Zeca Santos;07/07/1981
407;543;11/06/2025;238;Strickland-Mcdonald;19/12/2025;Wind;Mrs;149.0;let;500543;Zeca Santos;07/07/1981
407;543;11/06/2025;238;Strickland-Mcdonald;19/12/2025;Wind;Mrs;159.0;audience;500543;Zeca Santos;07/07/1981
407;543;11/06/2025;238;Strickland-Mcdonald;19/12/2025;Wind;Mrs;178.0;present;500543;Zeca Santos;07/07/1981
457;543;18/09/2024;2489;Harding LLC;24/03/2022;Wind;Mrs;;;500543;Zeca Santos;07/07/1981
451;543;03/10/2022;4180;Smith Ltd;15/08/2021;Wind;Mrs;199.0;real;500543;Zeca Santos;07/07/1981
241;543;26/11/2020;2883;Long PLC;03/02/2023;Wind;Mrs;;;500543;Zeca Santos;07/07/1981
311;542;02/11/2024;2520;Ferguson-Ramos;14/07/2025;Expect;adult;;;500542;Zeca Ramos;04/08/1963
208;542;07/06/2020;2075;Mccarthy LLC;01/04/2022;Expect;adult;49.0;provide;500542;Zeca Ramos;04/08/1963
271;542;25/05/2020;4817;Aguilar-Camacho;31/08/2021;Expect;adult;;;500542;Zeca Ramos;04/08/1963
92;542;08/04/2025;1014;Sanders, Blake and Alvarez;24/03/2021;Expect;adult;;;500542;Zeca Ramos;04/08/1963
333;542;12/03/2023;1890;Martinez, Crawford and Scott;15/04/2021;Expect;adult;;;500542;Zeca Ramos;04/08/1963
126;542;20/12/2023;3420;Sanders PLC;02/03/2022;Expect;adult;40.0;deep;500542;Zeca Ramos;04/08/1963
126;542;20/12/2023;3420;Sanders PLC;02/03/2022;Expect;adult;54.0;power;500542;Zeca Ramos;04/08/1963
470;542;16/03/2024;108;Brown, Hayes and Garcia;17/10/2025;Expect;adult;;;500542;Zeca Ramos;04/08/1963
436;542;26/06/2021;2979;Baldwin-Rogers;19/12/2025;Expect;adult;130.0;quickly;500542;Zeca Ramos;04/08/1963
331;542;04/06/2023;332;Doyle-Weber;03/01/2026;Expect;adult;;;500542;Zeca Ramos;04/08/1963
209;542;05/07/2025;3792;Arnold, Mcfarland and Lee;03/03/2025;Expect;adult;;;500542;Zeca Ramos;04/08/1963
111;542;28/07/2025;1687;Green, Hill and Bennett;14/05/2021;Expect;adult;;;500542;Zeca Ramos;04/08/1963
453;542;10/09/2020;315;Miller-Cooper;09/02/2025;Expect;adult;;;500542;Zeca Ramos;04/08/1963
58;541;27/06/2020;2493;Norris LLC;03/07/2024;Watch;check;;;500541;Zeca Quaresma;01/08/1986
82;541;05/01/2026;4324;Williams-Ochoa;15/05/2025;Watch;check;;;500541;Zeca Quaresma;01/08/1986
485;541;05/02/2023;3445;Wagner and Sons;12/10/2021;Watch;check;;;500541;Zeca Quaresma;01/08/1986
236;541;05/12/2023;2348;Kirby, Bishop and Conrad;21/09/2023;Watch;check;;;500541;Zeca Quaresma;01/08/1986
146;541;12/11/2024;4781;Martin Group;15/01/2025;Watch;check;;;500541;Zeca Quaresma;01/08/1986
4;541;06/12/2023;1882;Irwin Ltd;28/11/2021;Watch;check;70.0;perform;500541;Zeca Quaresma;01/08/1986
45;541;13/08/2020;3383;Carney-Smith;02/09/2024;Watch;check;136.0;window;500541;Zeca Quaresma;01/08/1986
22;541;07/11/2024;437;King-Martin;25/03/2025;Watch;check;;;500541;Zeca Quaresma;01/08/1986
133;541;17/09/2020;3370;Price and Sons;30/07/2025;Watch;check;75.0;health;500541;Zeca Quaresma;01/08/1986
187;540;26/07/2025;4001;Walker LLC;16/01/2024;Including;religious;;;500540;Zeca Pereira;13/10/1978
388;540;22/06/2021;2827;Miller-Bradshaw;25/03/2023;Including;religious;;;500540;Zeca Pereira;13/10/1978
24;540;06/03/2025;4899;Warren, Ferguson and Davis;02/04/2021;Including;religious;;;500540;Zeca Pereira;13/10/1978
287;540;15/06/2024;915;Serrano, Berry and English;01/09/2022;Including;religious;;;500540;Zeca Pereira;13/10/1978
80;540;25/03/2023;1975;Keller PLC;28/02/2021;Including;religious;20.0;easy;500540;Zeca Pereira;13/10/1978
80;540;25/03/2023;1975;Keller PLC;28/02/2021;Including;religious;163.0;many;500540;Zeca Pereira;13/10/1978
79;540;07/02/2025;4598;Hayden-Owens;03/11/2022;Including;religious;;;500540;Zeca Pereira;13/10/1978
273;539;19/02/2022;4171;Campbell, Lester and Webb;08/02/2024;Inside;opportunity;;;500539;Zeca Oliveira;21/10/1987
148;539;18/02/2021;4892;White-Hammond;19/12/2025;Inside;opportunity;114.0;often;500539;Zeca Oliveira;21/10/1987
294;539;10/09/2021;497;Callahan Group;25/12/2024;Inside;opportunity;;;500539;Zeca Oliveira;21/10/1987
445;539;26/10/2020;4924;Evans-Baker;28/10/2025;Inside;opportunity;35.0;value;500539;Zeca Oliveira;21/10/1987
445;539;26/10/2020;4924;Evans-Baker;28/10/2025;Inside;opportunity;50.0;idea;500539;Zeca Oliveira;21/10/1987
445;539;26/10/2020;4924;Evans-Baker;28/10/2025;Inside;opportunity;164.0;draw;500539;Zeca Oliveira;21/10/1987
412;539;29/09/2025;2004;Rios PLC;05/01/2025;Inside;opportunity;;;500539;Zeca Oliveira;21/10/1987
340;539;22/04/2022;4536;Edwards and Sons;10/06/2024;Inside;opportunity;;;500539;Zeca Oliveira;21/10/1987
115;539;24/02/2022;1614;Lopez-Ruiz;17/11/2023;Inside;opportunity;2.0;glass;500539;Zeca Oliveira;21/10/1987
367;539;20/11/2025;3246;Peterson LLC;14/04/2025;Inside;opportunity;;;500539;Zeca Oliveira;21/10/1987
455;539;20/08/2021;4116;Williams, Campbell and Anderson;18/03/2023;Inside;opportunity;;;500539;Zeca Oliveira;21/10/1987
486;539;22/10/2021;1108;Nunez-Taylor;18/01/2026;Inside;opportunity;;;500539;Zeca Oliveira;21/10/1987
381;538;22/10/2024;3658;Jarvis-Gutierrez;24/11/2022;Decade;man;;;500538;Zeca Nogueira;15/07/1982
239;538;11/01/2021;3214;Sims Group;04/03/2023;Decade;man;176.0;guess;500538;Zeca Nogueira;15/07/1982
203;538;03/06/2025;1183;Huff-Mccoy;25/04/2025;Decade;man;;;500538;Zeca Nogueira;15/07/1982
416;538;10/11/2022;1216;Washington Group;15/05/2023;Decade;man;;;500538;Zeca Nogueira;15/07/1982
318;538;09/05/2021;4437;Roberts, Larson and Johnson;19/03/2023;Decade;man;;;500538;Zeca Nogueira;15/07/1982
173;538;01/04/2020;3504;Newman, Christensen and Douglas;19/10/2022;Decade;man;;;500538;Zeca Nogueira;15/07/1982
129;538;04/11/2023;1470;Walter Group;05/10/2022;Decade;man;;;500538;Zeca Nogueira;15/07/1982
179;538;10/04/2024;3214;Summers-Carter;29/10/2021;Decade;man;154.0;daughter;500538;Zeca Nogueira;15/07/1982
6;538;08/11/2025;3090;Cunningham LLC;18/09/2025;Decade;man;195.0;beyond;500538;Zeca Nogueira;15/07/1982
9;537;16/02/2021;2086;Wallace-Goodman;17/03/2025;Ready;ready;77.0;land;500537;Zeca Martins;28/08/1961
125;537;20/08/2021;1963;Cordova, Mccoy and Hardin;28/09/2025;Ready;ready;89.0;seat;500537;Zeca Martins;28/08/1961
491;537;11/05/2024;358;Sloan Ltd;28/12/2025;Ready;ready;;;500537;Zeca Martins;28/08/1961
38;537;07/10/2024;2257;Stevenson Ltd;20/11/2024;Ready;ready;;;500537;Zeca Martins;28/08/1961
483;537;05/01/2026;4100;Norris-Gordon;27/10/2021;Ready;ready;;;500537;Zeca Martins;28/08/1961
141;537;03/07/2021;4443;Cruz, Wright and Strickland;27/01/2026;Ready;ready;94.0;ground;500537;Zeca Martins;28/08/1961
301;537;31/10/2024;3837;Murphy-Miller;07/05/2025;Ready;ready;39.0;fine;500537;Zeca Martins;28/08/1961
343;537;23/04/2022;3053;Miles and Sons;25/03/2022;Ready;ready;;;500537;Zeca Martins;28/08/1961
443;537;03/11/2023;3747;Gray and Sons;14/11/2021;Ready;ready;;;500537;Zeca Martins;28/08/1961
218;536;27/08/2020;2610;Greene, Sanford and Berry;26/03/2025;Society;available;;;500536;Zeca Lopes;09/06/1965
354;536;08/01/2022;4002;Jackson and Sons;11/09/2021;Society;available;;;500536;Zeca Lopes;09/06/1965
137;536;08/01/2025;872;Armstrong, Vargas and Smith;05/01/2025;Society;available;106.0;stand;500536;Zeca Lopes;09/06/1965
376;536;02/01/2025;1968;Miller, Mendoza and Martinez;19/05/2025;Society;available;16.0;trial;500536;Zeca Lopes;09/06/1965
376;536;02/01/2025;1968;Miller, Mendoza and Martinez;19/05/2025;Society;available;116.0;who;500536;Zeca Lopes;09/06/1965
457;536;11/06/2024;4956;Harding LLC;24/03/2022;Society;available;;;500536;Zeca Lopes;09/06/1965
207;536;14/12/2021;2105;Melendez Inc;04/01/2023;Society;available;;;500536;Zeca Lopes;09/06/1965
450;536;28/05/2020;3082;Kennedy-Rodriguez;27/06/2022;Society;available;;;500536;Zeca Lopes;09/06/1965
261;536;16/03/2024;309;Sanchez and Sons;18/06/2021;Society;available;;;500536;Zeca Lopes;09/06/1965
2;536;26/06/2022;2699;Hamilton, Fields and Jones;05/03/2024;Society;available;27.0;common;500536;Zeca Lopes;09/06/1965
2;536;26/06/2022;2699;Hamilton, Fields and Jones;05/03/2024;Society;available;186.0;better;500536;Zeca Lopes;09/06/1965
485;536;13/06/2021;4375;Wagner and Sons;12/10/2021;Society;available;;;500536;Zeca Lopes;09/06/1965
481;536;06/08/2021;4643;Miller, Taylor and Smith;09/09/2023;Society;available;;;500536;Zeca Lopes;09/06/1965
259;535;19/01/2025;3480;Jones and Sons;07/02/2023;Civil;figure;;;500535;Zeca Jardim;27/04/1969
215;535;25/05/2024;1935;Scott Ltd;23/07/2023;Civil;figure;9.0;wife;500535;Zeca Jardim;27/04/1969
450;535;29/08/2023;4073;Kennedy-Rodriguez;27/06/2022;Civil;figure;;;500535;Zeca Jardim;27/04/1969
77;535;01/01/2022;1506;Alexander-Weber;22/04/2025;Civil;figure;57.0;debate;500535;Zeca Jardim;27/04/1969
58;535;24/08/2023;3123;Norris LLC;03/07/2024;Civil;figure;;;500535;Zeca Jardim;27/04/1969
372;535;28/08/2023;1994;Gibson LLC;20/01/2024;Civil;figure;88.0;artist;500535;Zeca Jardim;27/04/1969
89;534;06/07/2025;1422;Simmons, Nelson and Robinson;23/09/2021;War;than;;;500534;Zeca Ibrahim;09/03/1969
196;534;14/11/2024;1828;Jordan-Hart;19/05/2023;War;than;193.0;let;500534;Zeca Ibrahim;09/03/1969
249;534;13/11/2022;477;Larsen-Guerra;27/03/2022;War;than;;;500534;Zeca Ibrahim;09/03/1969
477;534;12/09/2023;1129;Hamilton, Monroe and Haley;27/12/2023;War;than;;;500534;Zeca Ibrahim;09/03/1969
217;534;12/01/2025;1878;Bates, Jordan and Ray;24/05/2022;War;than;;;500534;Zeca Ibrahim;09/03/1969
36;534;24/09/2023;1202;Clark, Reed and Nolan;09/11/2024;War;than;10.0;section;500534;Zeca Ibrahim;09/03/1969
211;534;09/05/2021;2227;Patrick-Ponce;15/01/2025;War;than;175.0;at;500534;Zeca Ibrahim;09/03/1969
349;534;06/03/2022;1616;Kelly Group;05/10/2021;War;than;153.0;bring;500534;Zeca Ibrahim;09/03/1969
357;534;15/05/2022;2983;Cruz, Powers and Strickland;21/10/2025;War;than;148.0;discuss;500534;Zeca Ibrahim;09/03/1969
403;534;17/12/2023;131;Higgins-Morris;18/07/2023;War;than;;;500534;Zeca Ibrahim;09/03/1969
271;534;23/07/2022;4794;Aguilar-Camacho;31/08/2021;War;than;;;500534;Zeca Ibrahim;09/03/1969
161;534;08/06/2020;1257;White LLC;03/01/2024;War;than;100.0;will;500534;Zeca Ibrahim;09/03/1969
119;534;07/04/2023;1351;Henry, Aguilar and Harmon;22/06/2024;War;than;;;500534;Zeca Ibrahim;09/03/1969
122;533;29/04/2023;3029;Drake-Spence;17/07/2025;Point;book;97.0;better;500533;Zeca Henriques;29/10/1959
212;533;06/12/2025;4513;Ortiz Group;15/11/2024;Point;book;99.0;fine;500533;Zeca Henriques;29/10/1959
296;533;02/04/2025;944;Mcclure-Dean;24/03/2023;Point;book;;;500533;Zeca Henriques;29/10/1959
466;533;22/08/2024;2905;Leonard-Nelson;03/09/2025;Point;book;;;500533;Zeca Henriques;29/10/1959
21;532;11/11/2020;601;Wong-Conrad;16/10/2021;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
362;532;03/09/2024;3526;Torres, Carlson and Gonzales;24/07/2025;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
80;532;27/03/2022;4457;Keller PLC;28/02/2021;Writer;hospital;20.0;easy;500532;Zeca Gomes;03/10/1958
80;532;27/03/2022;4457;Keller PLC;28/02/2021;Writer;hospital;163.0;many;500532;Zeca Gomes;03/10/1958
7;532;06/11/2025;2138;Edwards-Robles;02/10/2021;Writer;hospital;41.0;language;500532;Zeca Gomes;03/10/1958
7;532;06/11/2025;2138;Edwards-Robles;02/10/2021;Writer;hospital;122.0;gas;500532;Zeca Gomes;03/10/1958
103;532;16/10/2021;2257;Thomas PLC;03/11/2025;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
463;532;07/04/2020;858;Humphrey-Munoz;17/05/2023;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
39;532;28/10/2022;1580;Nichols, Pratt and Pruitt;11/09/2022;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
77;532;03/02/2024;3599;Alexander-Weber;22/04/2025;Writer;hospital;57.0;debate;500532;Zeca Gomes;03/10/1958
461;532;12/06/2021;496;Scott Ltd;02/04/2021;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
433;532;12/05/2022;238;Mitchell and Sons;15/07/2025;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
287;532;17/10/2022;1443;Serrano, Berry and English;01/09/2022;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
463;532;31/10/2024;4298;Humphrey-Munoz;17/05/2023;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
38;532;28/09/2024;201;Stevenson Ltd;20/11/2024;Writer;hospital;;;500532;Zeca Gomes;03/10/1958
378;531;12/03/2022;3126;Torres-Williams;20/05/2023;Computer;whom;;;500531;Zeca Ferreira;04/06/1969
380;531;28/07/2023;2181;Hayes, Davis and Stevens;25/11/2021;Computer;whom;;;500531;Zeca Ferreira;04/06/1969
491;531;22/05/2023;3339;Sloan Ltd;28/12/2025;Computer;whom;;;500531;Zeca Ferreira;04/06/1969
464;531;22/01/2024;1665;Waters LLC;04/09/2022;Computer;whom;;;500531;Zeca Ferreira;04/06/1969
253;531;30/05/2024;2235;Sawyer, Ball and Duke;06/10/2025;Computer;whom;;;500531;Zeca Ferreira;04/06/1969
357;531;20/12/2024;1674;Cruz, Powers and Strickland;21/10/2025;Computer;whom;148.0;discuss;500531;Zeca Ferreira;04/06/1969
364;550;05/08/2020;1477;Bush-Smith;13/10/2023;Cut;realize;;;500550;Zeca Faria;05/05/1985
134;550;30/12/2021;1168;Garrison-Buck;17/01/2022;Cut;realize;139.0;say;500550;Zeca Faria;05/05/1985
385;550;26/05/2022;4620;Davis-Manning;23/01/2024;Cut;realize;3.0;remember;500550;Zeca Faria;05/05/1985
385;550;26/05/2022;4620;Davis-Manning;23/01/2024;Cut;realize;132.0;consumer;500550;Zeca Faria;05/05/1985
278;550;27/03/2023;734;Sweeney Inc;07/01/2025;Cut;realize;;;500550;Zeca Faria;05/05/1985
283;550;22/04/2024;163;Gardner-Rodriguez;02/05/2021;Cut;realize;;;500550;Zeca Faria;05/05/1985
482;550;24/02/2020;2265;Briggs-Martin;09/05/2022;Cut;realize;;;500550;Zeca Faria;05/05/1985
156;550;31/08/2023;202;Douglas LLC;13/02/2025;Cut;realize;;;500550;Zeca Faria;05/05/1985
157;550;28/07/2021;1786;Johnson, Jones and Wong;03/09/2025;Cut;realize;;;500550;Zeca Faria;05/05/1985
347;550;21/09/2022;1692;Simpson-Martinez;05/05/2024;Cut;realize;;;500550;Zeca Faria;05/05/1985
481;550;18/04/2020;2647;Miller, Taylor and Smith;09/09/2023;Cut;realize;;;500550;Zeca Faria;05/05/1985
255;550;26/10/2020;2902;Guerrero, Perry and Scott;14/05/2022;Cut;realize;;;500550;Zeca Faria;05/05/1985
212;550;27/12/2022;1217;Ortiz Group;15/11/2024;Cut;realize;99.0;fine;500550;Zeca Faria;05/05/1985
446;530;20/10/2022;870;Wilson Group;30/04/2022;Product;make;;;500530;Zeca Esteves;31/08/1976
486;530;23/04/2023;4322;Nunez-Taylor;18/01/2026;Product;make;;;500530;Zeca Esteves;31/08/1976
483;530;15/01/2025;4411;Norris-Gordon;27/10/2021;Product;make;;;500530;Zeca Esteves;31/08/1976
285;530;17/06/2021;3195;Ortega-Sharp;06/02/2025;Product;make;165.0;land;500530;Zeca Esteves;31/08/1976
117;530;15/04/2024;3266;Warren LLC;22/08/2023;Product;make;;;500530;Zeca Esteves;31/08/1976
81;530;20/01/2022;2950;Lewis-Livingston;20/11/2021;Product;make;;;500530;Zeca Esteves;31/08/1976
388;530;27/11/2021;240;Miller-Bradshaw;25/03/2023;Product;make;;;500530;Zeca Esteves;31/08/1976
225;530;28/02/2021;4343;Allen, Arroyo and Moore;28/02/2021;Product;make;92.0;too;500530;Zeca Esteves;31/08/1976
225;530;28/02/2021;4343;Allen, Arroyo and Moore;28/02/2021;Product;make;191.0;here;500530;Zeca Esteves;31/08/1976
204;530;03/03/2022;3873;Mccarty, Fox and Ross;10/01/2022;Product;make;;;500530;Zeca Esteves;31/08/1976
55;530;29/05/2023;2593;Rhodes and Sons;05/07/2024;Product;make;;;500530;Zeca Esteves;31/08/1976
379;549;07/06/2025;3020;Scott-Brennan;30/12/2023;Catch;nice;;;500549;Zeca Domingues;05/05/1957
44;549;30/07/2022;1413;Vazquez-Collins;23/07/2021;Catch;nice;185.0;talk;500549;Zeca Domingues;05/05/1957
167;549;08/12/2024;3052;Dunlap-Hill;07/07/2025;Catch;nice;;;500549;Zeca Domingues;05/05/1957
408;549;11/01/2021;2373;Robbins, May and Grant;29/09/2023;Catch;nice;;;500549;Zeca Domingues;05/05/1957
345;549;04/06/2021;4353;Cannon Inc;07/07/2023;Catch;nice;36.0;office;500549;Zeca Domingues;05/05/1957
429;549;13/09/2022;1961;Dickson-Patterson;20/06/2024;Catch;nice;;;500549;Zeca Domingues;05/05/1957
303;549;31/08/2022;3284;Brown-Thompson;20/07/2025;Catch;nice;129.0;nearly;500549;Zeca Domingues;05/05/1957
29;549;09/03/2022;1177;Herman PLC;03/04/2025;Catch;nice;;;500549;Zeca Domingues;05/05/1957
408;549;25/03/2021;3515;Robbins, May and Grant;29/09/2023;Catch;nice;;;500549;Zeca Domingues;05/05/1957
96;549;22/03/2022;2054;Herring PLC;23/04/2023;Catch;nice;102.0;sing;500549;Zeca Domingues;05/05/1957
195;529;06/10/2021;1776;Davis, Cervantes and Gibson;18/02/2023;Room;ago;;;500529;Zeca Dias;12/07/1959
331;529;10/10/2024;4340;Doyle-Weber;03/01/2026;Room;ago;;;500529;Zeca Dias;12/07/1959
21;529;03/01/2020;2595;Wong-Conrad;16/10/2021;Room;ago;;;500529;Zeca Dias;12/07/1959
8;529;03/11/2021;3187;Stanley-Martin;18/04/2025;Room;ago;;;500529;Zeca Dias;12/07/1959
324;529;20/09/2022;3405;Burch-Dominguez;02/11/2021;Room;ago;;;500529;Zeca Dias;12/07/1959
137;529;22/04/2023;1056;Armstrong, Vargas and Smith;05/01/2025;Room;ago;106.0;stand;500529;Zeca Dias;12/07/1959
346;529;25/01/2025;2257;Cruz-Freeman;20/12/2024;Room;ago;;;500529;Zeca Dias;12/07/1959
436;529;15/05/2021;4883;Baldwin-Rogers;19/12/2025;Room;ago;130.0;quickly;500529;Zeca Dias;12/07/1959
441;548;27/03/2022;1038;Russo LLC;06/09/2023;Discussion;hair;;;500548;Zeca Correia;17/09/1963
129;548;31/10/2025;4499;Walter Group;05/10/2022;Discussion;hair;;;500548;Zeca Correia;17/09/1963
262;548;13/03/2020;2651;Haynes-Landry;12/05/2022;Discussion;hair;123.0;also;500548;Zeca Correia;17/09/1963
262;548;13/03/2020;2651;Haynes-Landry;12/05/2022;Discussion;hair;184.0;home;500548;Zeca Correia;17/09/1963
334;548;05/02/2025;2229;Crawford Ltd;23/12/2023;Discussion;hair;177.0;street;500548;Zeca Correia;17/09/1963
196;548;11/01/2024;735;Jordan-Hart;19/05/2023;Discussion;hair;193.0;let;500548;Zeca Correia;17/09/1963
94;548;21/11/2023;2555;Garza LLC;19/01/2024;Discussion;hair;;;500548;Zeca Correia;17/09/1963
319;548;22/02/2021;4707;Moore, Landry and Morgan;22/07/2022;Discussion;hair;25.0;leg;500548;Zeca Correia;17/09/1963
319;548;22/02/2021;4707;Moore, Landry and Morgan;22/07/2022;Discussion;hair;146.0;structure;500548;Zeca Correia;17/09/1963
160;548;17/04/2022;4347;Hebert LLC;27/08/2025;Discussion;hair;21.0;today;500548;Zeca Correia;17/09/1963
142;548;18/11/2023;493;Williams, Mcguire and Davidson;21/11/2022;Discussion;hair;;;500548;Zeca Correia;17/09/1963
439;548;25/09/2023;1072;Rodriguez Group;22/02/2021;Discussion;hair;;;500548;Zeca Correia;17/09/1963
281;548;31/01/2021;267;Mccarty-Bailey;29/01/2025;Discussion;hair;;;500548;Zeca Correia;17/09/1963
410;548;03/07/2020;1300;Russell Ltd;22/01/2022;Discussion;hair;;;500548;Zeca Correia;17/09/1963
229;548;07/04/2025;915;Cherry and Sons;20/05/2024;Discussion;hair;;;500548;Zeca Correia;17/09/1963
16;528;11/04/2025;349;Cisneros, Love and Walker;19/07/2024;Lot;per;187.0;foot;500528;Zeca Cardoso;02/02/1961
8;528;12/12/2020;806;Stanley-Martin;18/04/2025;Lot;per;;;500528;Zeca Cardoso;02/02/1961
84;528;06/05/2023;3806;Harrington LLC;09/11/2022;Lot;per;;;500528;Zeca Cardoso;02/02/1961
434;528;15/03/2020;568;Bryant-Young;24/10/2023;Lot;per;1.0;table;500528;Zeca Cardoso;02/02/1961
218;528;13/11/2020;2409;Greene, Sanford and Berry;26/03/2025;Lot;per;;;500528;Zeca Cardoso;02/02/1961
39;528;20/07/2025;4540;Nichols, Pratt and Pruitt;11/09/2022;Lot;per;;;500528;Zeca Cardoso;02/02/1961
87;528;26/10/2023;2769;Mcpherson-Barrera;30/11/2024;Lot;per;;;500528;Zeca Cardoso;02/02/1961
205;528;16/07/2023;3519;Neal, Cook and Thompson;09/09/2025;Lot;per;;;500528;Zeca Cardoso;02/02/1961
221;528;08/07/2024;345;Brown-Rice;13/02/2022;Lot;per;;;500528;Zeca Cardoso;02/02/1961
96;528;13/08/2024;3106;Herring PLC;23/04/2023;Lot;per;102.0;sing;500528;Zeca Cardoso;02/02/1961
229;528;05/03/2024;3860;Cherry and Sons;20/05/2024;Lot;per;;;500528;Zeca Cardoso;02/02/1961
403;528;26/01/2021;1969;Higgins-Morris;18/07/2023;Lot;per;;;500528;Zeca Cardoso;02/02/1961
409;528;23/03/2021;1441;Bolton and Sons;10/10/2025;Lot;per;155.0;unit;500528;Zeca Cardoso;02/02/1961
428;528;21/04/2025;3691;Hall, House and Murphy;29/03/2023;Lot;per;;;500528;Zeca Cardoso;02/02/1961
14;547;11/04/2021;3296;Torres-Garcia;31/10/2023;Record;during;;;500547;Zeca Batista;14/12/1971
468;547;24/10/2023;2032;Jimenez Group;16/03/2021;Record;during;;;500547;Zeca Batista;14/12/1971
31;547;02/12/2023;456;Brown Inc;30/01/2023;Record;during;;;500547;Zeca Batista;14/12/1971
146;547;23/04/2022;245;Martin Group;15/01/2025;Record;during;;;500547;Zeca Batista;14/12/1971
46;547;03/01/2022;1272;Hayden-Brown;02/05/2021;Record;during;83.0;government;500547;Zeca Batista;14/12/1971
46;547;03/01/2022;1272;Hayden-Brown;02/05/2021;Record;during;91.0;fast;500547;Zeca Batista;14/12/1971
450;547;06/04/2022;1818;Kennedy-Rodriguez;27/06/2022;Record;during;;;500547;Zeca Batista;14/12/1971
22;547;19/12/2023;299;King-Martin;25/03/2025;Record;during;;;500547;Zeca Batista;14/12/1971
277;547;27/11/2022;2790;Cobb and Sons;29/05/2025;Record;during;;;500547;Zeca Batista;14/12/1971
442;547;25/05/2025;2941;Arnold, Sanchez and Hendricks;02/03/2022;Record;during;;;500547;Zeca Batista;14/12/1971
95;547;25/01/2021;4346;Cameron Inc;15/06/2021;Record;during;;;500547;Zeca Batista;14/12/1971
405;547;09/04/2024;4249;Rivera-Martinez;16/10/2024;Record;during;73.0;far;500547;Zeca Batista;14/12/1971
405;547;09/04/2024;4249;Rivera-Martinez;16/10/2024;Record;during;101.0;bag;500547;Zeca Batista;14/12/1971
